"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating"
328.688,2021,6,19,17,84.875,22.75,14.938,0,200.125,6
17.5,2021,5,22,5,1.875,4.25,2.5,0,5.875,3
44.001,2021,6,13,1,4.75,9.438,4.25,7.438,13.625,4.5
272.501,2021,5,26,10,58.625,25.563,23.813,136.375,19.125,9
328.688,2021,6,16,19,84.875,22.75,14.938,0,200.125,6
289.251,2021,5,28,13,63,31.688,38.188,129.125,20.5,6.75
74.688,2021,6,13,21,8.375,19.75,6.063,0,34.75,5.75
141.251,2021,6,5,23,6.625,15.188,6.438,81.375,25.875,5.75
137.501,2021,5,21,22,40.75,14.75,11.063,54.313,10.125,6.5
319.501,2021,5,25,9,41.625,13.438,14.125,142.188,16.125,92
137.001,2021,5,23,5,8,13.063,8.25,77.188,19,11.5
328.688,2021,6,17,21,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,18,7,84.875,22.75,14.938,0,200.125,6
139.751,2021,6,7,0,6.125,12.375,5.188,92.563,17.75,5.75
114.75,2021,6,5,18,6.75,12,4.875,49.625,35.25,6.25
328.688,2021,6,17,16,84.875,22.75,14.938,0,200.125,6
82.751,2021,5,22,10,5.75,10.375,5,45.563,10.313,5.75
328.688,2021,6,17,7,84.875,22.75,14.938,0,200.125,6
4.688,2021,6,10,5,1.375,3.125,0.188,0,0,0
120.501,2021,5,29,3,7.375,12.313,4.75,66.938,23.125,6
276.751,2021,6,3,18,86.125,24.313,40.188,89.625,30.75,5.75
290,2021,5,28,14,111.875,31.75,37.125,83.625,18.125,7.5
122.751,2021,5,31,0,4.75,13.25,4.563,75.563,18.375,6.25
128.751,2021,6,7,5,7.75,11.438,5.438,74.25,24.125,5.75
354.001,2021,6,4,21,77.75,16.5,18.063,0,235.688,6
117.751,2021,5,29,13,4.625,11.313,5.563,70.125,19.875,6.25
328.688,2021,6,14,11,84.875,22.75,14.938,0,200.125,6
128.501,2021,5,24,16,8.875,16.563,14.375,64.438,17.75,6.5
133.001,2021,5,24,17,3.75,18.063,16.188,70.75,18.25,6
181.5,2021,5,24,20,17.125,19.125,14.75,67.75,23.75,39
124.251,2021,5,22,15,10.75,15.25,6.688,64.813,21,5.75
225.501,2021,5,31,9,57,13.563,13.188,118.375,17.375,6
249.751,2021,6,11,22,60.125,11.25,8.313,0,166.063,4
264.75,2021,5,28,9,56.125,16.625,15.125,118,19.625,39.25
284.25,2021,5,21,12,76,24.75,33.125,126,17.125,7.25
83.501,2021,6,1,6,4.25,10.563,6,31.813,24.875,6
123.501,2021,5,24,15,9,15.188,14.438,61.125,17.25,6.5
132.001,2021,6,6,10,4.875,12.438,5.25,82.188,21.75,5.5
328.688,2021,6,19,12,84.875,22.75,14.938,0,200.125,6
130.5,2021,6,5,8,8.875,12.25,7.375,78.25,17.75,6
395.189,2021,6,1,21,96.5,18.938,19.938,0,254.063,5.75
125.251,2021,5,29,2,3.875,14.938,6.438,70.625,23.625,5.75
122.751,2021,5,30,5,5.625,11.125,6.563,75.563,18.125,5.75
132.251,2021,5,26,5,7.125,14,4.813,70.188,18.875,17.25
213.251,2021,5,21,21,75.375,18.438,16.938,84.625,11.125,6.75
274.251,2021,6,1,17,77.125,32.625,38.563,83.875,36.313,5.75
284.751,2021,6,10,12,109.375,32,37.063,68.063,29.5,8.75
328.688,2021,6,14,13,84.875,22.75,14.938,0,200.125,6
134,2021,5,30,11,8.625,21,6.125,69.25,23,6
37.751,2021,6,2,23,36.375,0.563,0.813,0,0,0
14.251,2021,6,4,2,2.5,1.938,9.813,0,0,0
271.001,2021,5,25,18,56.625,38.75,33.063,108.563,27.5,6.5
234.5,2021,6,4,9,52.375,15.25,18,119,23.375,6.5
127.501,2021,5,22,9,6,15.813,8,77.063,14.125,6.5
328.688,2021,6,15,23,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,18,21,84.875,22.75,14.938,0,200.125,6
266.001,2021,6,2,20,94.125,25.438,26.188,75.875,38.375,6
142.501,2021,5,27,2,5.5,15.375,8.438,89.313,17.875,6
272.251,2021,6,7,17,98.25,26.375,39.5,72.188,29.688,6.25
336.001,2021,6,7,15,104.75,39.813,40.563,44.75,97.625,8.5
124.251,2021,6,3,22,27.25,12.625,8.563,59.313,10.75,5.75
289.751,2021,5,31,16,84.25,34.188,31.313,99.375,34.375,6.25
328.688,2021,6,19,2,84.875,22.75,14.938,0,200.125,6
64.251,2021,6,14,0,6.375,15.313,5.875,7.938,23,5.75
328.688,2021,6,20,4,84.875,22.75,14.938,0,200.125,6
